Original_Score,learned_Scores,Ranking_Score_from_Postprocessing,Sensitive_Attribute
0.790280217,0.790280217,0.790280217,True
0.761418313,0.761418313,0.761418313,True
0.744449197,0.744449197,0.744449197,False
0.731606027,0.731606027,0.731606027,True
0.72302068,0.72302068,0.72302068,True
0.72145307,0.72145307,0.72145307,True
0.712601111,0.712601111,0.712601111,True
0.711459991,0.711459991,0.711459991,True
0.710031333,0.710031333,0.710031333,True
0.700277015,0.700277015,0.700277015,False
0.696901829,0.696901829,0.696901829,False
0.694348159,0.694348159,0.694348159,True
0.693609141,0.693609141,0.693609141,True
0.693068539,0.693068539,0.693068539,True
0.691957378,0.691957378,0.691957378,True
0.689963428,0.689963428,0.689963428,True
0.686877437,0.686877437,0.686877437,True
0.686238379,0.686238379,0.686238379,False
0.681490236,0.681490236,0.681490236,False
0.672584081,0.672584081,0.672584081,False
0.671984466,0.671984466,0.671984466,True
0.670373801,0.670373801,0.670373801,True
0.670258184,0.670258184,0.670258184,False
0.669780358,0.669780358,0.669780358,False
0.668269955,0.668269955,0.668269955,True
0.664675126,0.664675126,0.664675126,True
0.663366,0.663366,0.663366,False
0.663230962,0.663230962,0.663230962,False
0.662869959,0.662869959,0.662869959,True
0.662783246,0.662783246,0.662783246,True
0.66152139,0.66152139,0.66152139,True
0.66134977,0.66134977,0.66134977,True
0.661154365,0.661154365,0.661154365,True
0.66050206,0.66050206,0.66050206,True
0.66044109,0.66044109,0.66044109,True
0.658365245,0.658365245,0.658365245,True
0.657064398,0.657064398,0.657064398,False
0.656994847,0.656994847,0.656994847,True
0.656019024,0.656019024,0.656019024,True
0.655801338,0.655801338,0.655801338,True
0.654590065,0.654590065,0.654590065,True
0.654033957,0.654033957,0.654033957,True
0.653960793,0.653960793,0.653960793,True
0.653749881,0.653749881,0.653749881,True
0.652919935,0.652919935,0.652919935,True
0.652528221,0.652528221,0.652528221,True
0.651747502,0.651747502,0.651747502,True
0.651513105,0.651513105,0.651513105,True
0.651267418,0.651267418,0.651267418,True
0.650915749,0.650915749,0.650915749,True
0.650863811,0.650863811,0.650863811,True
0.650310263,0.650310263,0.650310263,True
0.649756714,0.649756714,0.649756714,True
0.649524576,0.649524576,0.649524576,True
0.648754997,0.648754997,0.648754997,False
0.648647509,0.648647509,0.648647509,False
0.647876727,0.647876727,0.647876727,True
0.647751023,0.647751023,0.647751023,False
0.64558154,0.64558154,0.64558154,True
0.644284306,0.644284306,0.644284306,False
0.642729342,0.642729342,0.642729342,False
0.642121447,0.642121447,0.642121447,True
0.641770831,0.641770831,0.641770831,True
0.64145198,0.64145198,0.64145198,False
0.641267564,0.641267564,0.641267564,False
0.641128462,0.641128462,0.641128462,True
0.639214452,0.639214452,0.639214452,True
0.639173203,0.639173203,0.639173203,True
0.638944678,0.638944678,0.638944678,True
0.638712841,0.638712841,0.638712841,True
0.637994447,0.637994447,0.637994447,True
0.637115574,0.637115574,0.637115574,True
0.636732441,0.636732441,0.636732441,True
0.636562778,0.636562778,0.636562778,True
0.6355579,0.6355579,0.6355579,True
0.634890691,0.634890691,0.634890691,False
0.634188255,0.634188255,0.634188255,False
0.633835833,0.633835833,0.633835833,True
0.632330247,0.632330247,0.632330247,True
0.632172327,0.632172327,0.632172327,False
0.631666199,0.631666199,0.631666199,False
0.631659274,0.631659274,0.631659274,True
0.630227906,0.630227906,0.630227906,True
0.629634464,0.629634464,0.629634464,True
0.629319226,0.629319226,0.629319226,True
0.629316215,0.629316215,0.629316215,False
0.628673996,0.628673996,0.628673996,True
0.626400036,0.626400036,0.626400036,True
0.625573703,0.625573703,0.625573703,False
0.625389136,0.625389136,0.625389136,False
0.624902881,0.624902881,0.624902881,True
0.624868105,0.624868105,0.624868105,True
0.624867352,0.624867352,0.624867352,True
0.624715303,0.624715303,0.624715303,True
0.624326299,0.624326299,0.624326299,True
0.623754535,0.623754535,0.623754535,True
0.622272735,0.622272735,0.622272735,False
0.622183462,0.622183462,0.622183462,True
0.622175935,0.622175935,0.622175935,True
0.621571954,0.621571954,0.621571954,True
