Data_Set_Name,Algorithm_Name,Measure,Value
GermanCreditAge25,Color-Blind,MAP,1.0
GermanCreditAge25,Color-Blind,NDCG@1,1.0
GermanCreditAge25,Color-Blind,NDCG@5,1.0
GermanCreditAge25,Color-Blind,NDCG@10,1.0
GermanCreditAge25,Color-Blind,rKL,0.01974056009876803
GermanCreditAge25,Color-Blind,DTR,1.0320457287889566
GermanCreditAge25,Color-Blind,DIR,0.8082360087190794
GermanCreditAge25,Color-Blind,FairnessAtK,0.1
GermanCreditAge25,FeldmanEtAl,MAP,0.01935148185148185
GermanCreditAge25,FeldmanEtAl,NDCG@1,0.8739393159214144
GermanCreditAge25,FeldmanEtAl,NDCG@5,0.9754038016556424
GermanCreditAge25,FeldmanEtAl,NDCG@10,0.9849148987659252
GermanCreditAge25,FeldmanEtAl,rKL,0.0073357567365325985
GermanCreditAge25,FeldmanEtAl,DTR,0.7319217907753821
GermanCreditAge25,FeldmanEtAl,DIR,0.817111548400566
GermanCreditAge25,FeldmanEtAl,FairnessAtK,0.275
GermanCreditAge25,FOEIR-DPC,MAP,0.8585297975100608
GermanCreditAge25,FOEIR-DPC,NDCG@1,1.0
GermanCreditAge25,FOEIR-DPC,NDCG@5,1.0
GermanCreditAge25,FOEIR-DPC,NDCG@10,1.0
GermanCreditAge25,FOEIR-DPC,rKL,0.01974056009876803
GermanCreditAge25,FOEIR-DPC,DTR,1.0320457285610305
GermanCreditAge25,FOEIR-DPC,DIR,0.8082360087190874
GermanCreditAge25,FOEIR-DPC,FairnessAtK,0.1
GermanCreditAge25,FOEIR-DTC,MAP,1.0
GermanCreditAge25,FOEIR-DTC,NDCG@1,1.0
GermanCreditAge25,FOEIR-DTC,NDCG@5,1.0
GermanCreditAge25,FOEIR-DTC,NDCG@10,1.0
GermanCreditAge25,FOEIR-DTC,rKL,0.01974056009876803
GermanCreditAge25,FOEIR-DTC,DTR,1.0320457287889566
GermanCreditAge25,FOEIR-DTC,DIR,0.8082360087190794
GermanCreditAge25,FOEIR-DTC,FairnessAtK,0.1
GermanCreditAge25,FOEIR-DIC,MAP,1.0
GermanCreditAge25,FOEIR-DIC,NDCG@1,1.0
GermanCreditAge25,FOEIR-DIC,NDCG@5,1.0
GermanCreditAge25,FOEIR-DIC,NDCG@10,1.0
GermanCreditAge25,FOEIR-DIC,rKL,0.01974056009876803
GermanCreditAge25,FOEIR-DIC,DTR,1.0320457287889566
GermanCreditAge25,FOEIR-DIC,DIR,0.8082360087190794
GermanCreditAge25,FOEIR-DIC,FairnessAtK,0.1
GermanCreditAge25,FAIR,MAP,0.525
GermanCreditAge25,FAIR,NDCG@1,1.0
GermanCreditAge25,FAIR,NDCG@5,1.0
GermanCreditAge25,FAIR,NDCG@10,1.0
GermanCreditAge25,FAIR,rKL,0.018735748754518496
GermanCreditAge25,FAIR,DTR,0.7319217907494199
GermanCreditAge25,FAIR,DIR,0.8171115483996667
GermanCreditAge25,FAIR,FairnessAtK,0.1
GermanCreditAge25,LFRanking,MAP,0.0
GermanCreditAge25,LFRanking,NDCG@1,0.42447666723673066
GermanCreditAge25,LFRanking,NDCG@5,0.5359489972650372
GermanCreditAge25,LFRanking,NDCG@10,0.5701111603369171
GermanCreditAge25,LFRanking,rKL,0.01974056009876803
GermanCreditAge25,LFRanking,DTR,5.70503319356346
GermanCreditAge25,LFRanking,DIR,0.8575016930630708
GermanCreditAge25,LFRanking,FairnessAtK,0.1
ProPublicaSex,Color-Blind,MAP,1.0
ProPublicaSex,Color-Blind,NDCG@1,1.0
ProPublicaSex,Color-Blind,NDCG@5,1.0
ProPublicaSex,Color-Blind,NDCG@10,1.0
ProPublicaSex,Color-Blind,rKL,0.034293997037220046
ProPublicaSex,Color-Blind,DTR,1.0935119583784314
ProPublicaSex,Color-Blind,DIR,1.3627194194083676
ProPublicaSex,Color-Blind,FairnessAtK,1.0
ProPublicaSex,FeldmanEtAl,MAP,0.025
ProPublicaSex,FeldmanEtAl,NDCG@1,1.0
ProPublicaSex,FeldmanEtAl,NDCG@5,0.9919027826490878
ProPublicaSex,FeldmanEtAl,NDCG@10,0.9929250983215824
ProPublicaSex,FeldmanEtAl,rKL,0.17481950443691888
ProPublicaSex,FeldmanEtAl,DTR,1.5504741513810498
ProPublicaSex,FeldmanEtAl,DIR,1.3750578516627479
ProPublicaSex,FeldmanEtAl,FairnessAtK,1.0
ProPublicaSex,FOEIR-DPC,MAP,1.0
ProPublicaSex,FOEIR-DPC,NDCG@1,1.0
ProPublicaSex,FOEIR-DPC,NDCG@5,1.0
ProPublicaSex,FOEIR-DPC,NDCG@10,1.0
ProPublicaSex,FOEIR-DPC,rKL,0.034293997037220046
ProPublicaSex,FOEIR-DPC,DTR,1.0935119583784314
ProPublicaSex,FOEIR-DPC,DIR,1.3627194194083676
ProPublicaSex,FOEIR-DPC,FairnessAtK,1.0
ProPublicaSex,FOEIR-DTC,MAP,1.0
ProPublicaSex,FOEIR-DTC,NDCG@1,1.0
ProPublicaSex,FOEIR-DTC,NDCG@5,1.0
ProPublicaSex,FOEIR-DTC,NDCG@10,1.0
ProPublicaSex,FOEIR-DTC,rKL,0.034293997037220046
ProPublicaSex,FOEIR-DTC,DTR,1.0935119583784314
ProPublicaSex,FOEIR-DTC,DIR,1.3627194194083676
ProPublicaSex,FOEIR-DTC,FairnessAtK,1.0
ProPublicaSex,FOEIR-DIC,MAP,0.13655549588832946
ProPublicaSex,FOEIR-DIC,NDCG@1,1.0
ProPublicaSex,FOEIR-DIC,NDCG@5,0.9953893319258295
ProPublicaSex,FOEIR-DIC,NDCG@10,0.9978416597986668
ProPublicaSex,FOEIR-DIC,rKL,0.034293997037220046
ProPublicaSex,FOEIR-DIC,DTR,1.0935119600481038
ProPublicaSex,FOEIR-DIC,DIR,1.3627194233688207
ProPublicaSex,FOEIR-DIC,FairnessAtK,1.0
ProPublicaSex,FAIR,MAP,0.8292183616383596
ProPublicaSex,FAIR,NDCG@1,1.0
ProPublicaSex,FAIR,NDCG@5,1.0
ProPublicaSex,FAIR,NDCG@10,1.0
ProPublicaSex,FAIR,rKL,0.01673389986819122
ProPublicaSex,FAIR,DTR,1.0935119611040225
ProPublicaSex,FAIR,DIR,1.3627194254557933
ProPublicaSex,FAIR,FairnessAtK,1.0
GermanCreditSex,Color-Blind,MAP,1.0
GermanCreditSex,Color-Blind,NDCG@1,1.0
GermanCreditSex,Color-Blind,NDCG@5,1.0
GermanCreditSex,Color-Blind,NDCG@10,1.0
GermanCreditSex,Color-Blind,rKL,0.012021053616137855
GermanCreditSex,Color-Blind,DTR,1.0676765283994443
GermanCreditSex,Color-Blind,DIR,1.2078624408835423
GermanCreditSex,Color-Blind,FairnessAtK,1.0
GermanCreditSex,FeldmanEtAl,MAP,0.06651760392385393
GermanCreditSex,FeldmanEtAl,NDCG@1,1.0
GermanCreditSex,FeldmanEtAl,NDCG@5,0.9938374232707657
GermanCreditSex,FeldmanEtAl,NDCG@10,0.9969806736276445
GermanCreditSex,FeldmanEtAl,rKL,0.24547029700166426
GermanCreditSex,FeldmanEtAl,DTR,1.2053214554195761
GermanCreditSex,FeldmanEtAl,DIR,1.200615018942196
GermanCreditSex,FeldmanEtAl,FairnessAtK,1.0
GermanCreditSex,FOEIR-DPC,MAP,1.0
GermanCreditSex,FOEIR-DPC,NDCG@1,1.0
GermanCreditSex,FOEIR-DPC,NDCG@5,1.0
GermanCreditSex,FOEIR-DPC,NDCG@10,1.0
GermanCreditSex,FOEIR-DPC,rKL,0.012021053616137855
GermanCreditSex,FOEIR-DPC,DTR,1.0676765283994443
GermanCreditSex,FOEIR-DPC,DIR,1.2078624408835423
GermanCreditSex,FOEIR-DPC,FairnessAtK,1.0
GermanCreditSex,FOEIR-DTC,MAP,1.0
